	species	climate	environment	depth_min	depth_max
0	Abalistes stellaris	tropical	amphidromous marine demersal		
1	Ablennes hians	subtropical	reef-associated oceanodromous marine brackish	0.0	3.0
2	Abramis brama	temperate	freshwater benthopelagic brackish potamodromous	1.0	
3	Abudefduf vaigiensis	tropical	reef-associated oceanodromous marine	1.0	15.0
4	Acanthaluteres brownii	subtropical	reef-associated marine		50.0
5	Acanthogobius hasta	temperate	amphidromous freshwater marine brackish demersal		
6	Acanthopagrus latus	tropical	freshwater marine brackish demersal		50.0
7	Acanthopagrus schlegelii	subtropical	marine brackish demersal	15.0	
8	Acanthurus leucosternon	tropical	reef-associated marine	0.0	25.0
9	Acanthurus lineatus	tropical	reef-associated marine	0.0	15.0
10	Acantopsis choirorhynchos	tropical	freshwater brackish demersal		
11	Acentrogobius chlorostigmatoides	tropical	freshwater brackish demersal		
12	Acentrogobius pflaumii	subtropical	marine brackish demersal		
13	Acentrophryne dolichonema		bathypelagic marine deep-water	201.0	1105.0
14	Acheilognathus intermedia	temperate	freshwater benthopelagic		
15	Acheilognathus koreensis	temperate	freshwater benthopelagic		
16	Acheilognathus macropterus	subtropical	freshwater benthopelagic brackish		
17	Acheilognathus signifer	temperate	freshwater benthopelagic		
18	Acheilognathus somjinensis	temperate	freshwater benthopelagic		
19	Acheilognathus typus	temperate	freshwater benthopelagic		
20	Acheilognathus yamatsutae	temperate	freshwater benthopelagic		
21	Acipenser baerii	temperate	anadromous freshwater marine brackish demersal	1.0	
22	Acipenser dabryanus	temperate	anadromous freshwater demersal		
23	Acipenser gueldenstaedtii	temperate	anadromous freshwater marine brackish demersal	1.0	
24	Acipenser ruthenus	temperate	freshwater brackish potamodromous demersal	1.0	
25	Acipenser schrenckii	temperate	anadromous freshwater marine brackish demersal		
26	Acipenser sinensis	temperate	anadromous freshwater marine brackish demersal		
27	Acipenser transmontanus	subtropical	anadromous freshwater marine brackish demersal	1.0	122.0
28	Acreichthys tomentosus	tropical	reef-associated marine non-migratory	2.0	15.0
29	Acrossocheilus hemispinus	subtropical	freshwater benthopelagic		
30	Acrossocheilus monticola	temperate	freshwater benthopelagic		
31	Acrossocheilus wenchowensis	subtropical	freshwater benthopelagic brackish		
32	Aeoliscus strigatus	tropical	reef-associated marine	1.0	20.0
33	Aesopia cornuta	tropical	reef-associated marine	8.0	100.0
34	Aethaloperca rogaa	tropical	reef-associated marine non-migratory	3.0	50.0
35	Agonostomus monticola	subtropical	catadromous freshwater marine brackish pelagic-neritic		
36	Albula glossodonta	tropical	reef-associated oceanodromous marine brackish		
37	Alburnus alburnus	temperate	freshwater benthopelagic brackish potamodromous	1.0	
38	Alburnus istanbulensis	subtropical	freshwater benthopelagic		
39	Alburnus tarichi	temperate	freshwater benthopelagic		
40	Aldrichetta forsteri	temperate	catadromous freshwater marine brackish demersal	0.0	50.0
41	Aldrovandia affinis		benthopelagic marine deep-water	730.0	2560.0
42	Alepocephalus agassizii		bathydemersal marine deep-water	600.0	2500.0
43	Alepocephalus australis		bathydemersal marine deep-water	1000.0	2600.0
44	Alepocephalus bairdii		bathydemersal marine deep-water	365.0	1700.0
45	Alepocephalus bicolor		bathydemersal marine deep-water	439.0	1080.0
46	Alepocephalus longiceps		bathydemersal marine deep-water	1240.0	1300.0
47	Alepocephalus productus		bathydemersal marine deep-water	1150.0	3500.0
48	Alepocephalus tenebrosus		bathydemersal marine deep-water	46.0	5500.0
49	Alepocephalus umbriceps		bathydemersal marine deep-water	500.0	2000.0
50	Allocyttus niger		bathypelagic marine deep-water oceanodromous	560.0	1300.0
