species	metabolism_data	speed_data	gill_area_data
Indostomus paradoxus	False	False	False
Liobagrus reinii	False	False	False
Schizothorax biddulphi	False	False	False
Solivomer arenidens	False	False	False
Pteragogus flagellifer	False	False	False
Aspasma minima	False	False	False
Gymnocypris dobula	False	False	False
Psilorhynchus homaloptera	False	False	False
Myctophum affine	False	False	False
Carinotetraodon lorteti	False	False	False
Halichoeres tenuispinis	False	False	False
Acreichthys tomentosus	False	False	False
Chaenophryne melanorhabdus	False	False	False
Onychostoma alticorpus	False	False	False
Labracoglossa argentiventris	False	False	False
Lycodes toyamensis	False	False	False
Micropterus dolomieu	False	False	True
Sardinops melanostictus	False	False	False
Cirrhinus mrigala	False	False	False
Hypoptychus dybowskii	False	False	False
Oryzias marmoratus	False	False	False
Paramormyrops gabonensis	False	False	False
Agonostomus monticola	False	False	False
Xenobalistes tumidipectoris	False	False	False
Sciaenops ocellatus	False	False	False
Leiocassis crassilabris	False	False	False
Pagellus bogaraveo	False	False	False
Cyprinus carpio	True	True	True
Danacetichthys galathenus	False	False	False
Polypterus delhezi	False	False	False
Hemibarbus longirostris	False	False	False
Paracheirodon innesi	False	False	False
Tylochromis polylepis	False	False	False
Derichthys serpentinus	False	False	False
Takifugu stictonotus	False	False	False
Microphysogobio koreensis	False	False	False
Myctophum nitidulum	False	False	False
Plagiognathops microlepis	False	False	False
Ariomma indica	False	False	False
Rhodeus pseudosericeus	False	False	False
Cyema atrum	False	False	False
Siniperca chuatsi	False	False	False
Perccottus glenii	False	False	False
Cubiceps pauciradiatus	False	False	False
Aulichthys japonicus	False	False	False
Anomalops katoptron	False	False	False
Krefftichthys anderssoni	False	False	False
Pythonichthys microphthalmus	False	False	False
Istiophorus platypterus	False	False	False
Pangasianodon hypophthalmus	False	False	False
Carassius gibelio	False	False	False
Hippocampus histrix	False	False	False
Valamugil cunnesius	False	False	False
Pholis crassispina	False	False	False
Chanodichthys mongolicus	False	False	False
Acanthurus leucosternon	False	False	False
Pungitius sinensis	False	False	False
Clupeichthys goniognathus	False	False	False
Helogenes marmoratus	False	False	False
Thyrsitoides marleyi	False	False	False
Crossorhombus azureus	False	False	False
Hemibarbus umbrifer	False	False	False
Megalops cyprinoides	False	False	False
Microphysogobio alticorpus	False	False	False
Hippoglossus hippoglossus	False	False	False
Johnius belangerii	False	False	False
Anguilla mossambica	False	False	False
Facciolella oxyrhyncha	False	False	False
Hepsetus odoe	False	False	False
Larimichthys polyactis	False	False	False
Opsariichthys uncirostris	False	False	False
Ehirava fluviatilis	False	False	False
Lethrinus obsoletus	False	False	False
Spratelloides delicatulus	False	False	False
Sinibrama macrops	False	False	False
Hemibagrus macropterus	False	False	False
Chilomycterus reticulatus	False	False	False
Notacanthus chemnitzi	False	False	False
Cyprinodon rubrofluviatilis	False	False	False
Aldrovandia affinis	False	False	False
Saurida undosquamis	False	False	False
Benthosema pterotum	False	False	False
Barbus barbus	False	False	False
Gila conspersa	False	False	False
Moringua edwardsi	False	False	False
Silurus meridionalis	False	False	False
Melanocetus murrayi	False	False	False
Pungitius pungitius	False	False	False
Genyomyrus donnyi	False	False	False
Mugil cephalus	True	True	True
Acipenser dabryanus	False	False	False
Sarcocheilichthys variegatus	False	False	False
Lycengraulis grossidens	False	False	False
Oryzias minutillus	False	False	False
Grammatobothus krempfi	False	False	False
Rhodeus shitaiensis	False	False	False
Scomber scombrus	False	True	True
Zalieutes elater	False	False	False
Catla catla	False	False	True
Cobitis striata	False	False	False
Ateleopus japonicus	False	False	False
Polypterus weeksii	False	False	False
Chitala lopis	False	False	False
Liobagrus anguillicauda	False	False	False
Oncorhynchus nerka	True	True	False
Polypterus ornatipinnis	False	False	False
Pseudobagrus trilineatus	False	False	False
Astyanax mexicanus	False	False	False
Chaunax abei	False	False	False
Cromeria nilotica	False	False	False
Oryzias dancena	False	False	False
Setipinna taty	False	False	False
Micropterus floridanus	False	False	False
Oncorhynchus clarkii	False	False	False
Gigantactis vanhoeffeni	False	False	False
Chionodraco myersi	False	False	False
Lampadena atlantica	False	False	False
Tribolodon brandtii	False	False	False
Alepocephalus australis	False	False	False
Hyperopisus bebe	False	False	False
Gagata dolichonema	False	False	False
Acanthaluteres brownii	False	False	False
Scomberomorus niphonius	False	False	False
Petrocephalus soudanensis	False	False	False
Labeo rohita	True	False	True
Porichthys myriaster	False	False	False
Pseudopungtungia tenuicorpus	False	False	False
Takifugu obscurus	False	False	False
Epinephelus fasciatomaculosus	False	False	False
Himantolophus albinares	False	False	False
Hyporhamphus sajori	False	False	False
Brachymystax lenok	False	False	False
Pelteobagrus fulvidraco	False	False	False
Coregonus oxyrinchus	False	False	False
Esox niger	False	False	False
Eubalichthys mosaicus	False	False	False
Nettastoma parviceps	False	False	False
Centrobranchus choerocephalus	False	False	False
Pseudobagrus truncatus	False	False	False
Leptoderma retropinna	False	False	False
Luciosoma bleekeri	False	False	False
Dorosoma cepedianum	True	False	False
Zebrias zebra	False	False	False
Chaunax pictus	False	False	False
Rhamphochromis esox	False	False	False
Oxuderces dentatus	False	False	False
Micromesistius poutassou	False	False	False
Lampanyctus crocodilus	False	False	False
Percopsis transmontana	False	False	False
Leptobarbus hoevenii	False	False	False
Koreocobitis rotundicaudata	False	False	False
Xenocypris argentea	False	False	False
Allocyttus niger	False	False	False
Ostracion immaculatus	False	False	False
Apareiodon affinis	False	False	False
Cynoponticus ferox	False	False	False
Acentrogobius pflaumii	False	False	False
Miichthys miiuy	False	False	False
Chalceus macrolepidotus	False	False	False
