species	temperature_min	temperature_max	climate	environment	depth_min	depth_max	metabolism_data	speed_data	gill_area_data
Abalistes stellaris	NA	NA	tropical	amphidromous marine demersal	NA	NA	False	False	False
Ablennes hians	NA	NA	subtropical	reef-associated oceanodromous marine brackish	0	3	False	False	False
Abramis brama	10.0	24.0	temperate	freshwater benthopelagic brackish potamodromous	1	NA	True	True	False
Abudefduf vaigiensis	NA	NA	tropical	reef-associated oceanodromous marine	1	15	False	False	False
Acanthaluteres brownii	NA	NA	subtropical	reef-associated marine	NA	50	False	False	False
Acanthogobius hasta	NA	NA	temperate	amphidromous freshwater marine brackish demersal	NA	NA	False	False	False
Acanthopagrus latus	NA	NA	tropical	freshwater marine brackish demersal	NA	50	False	False	False
Acanthopagrus schlegelii	NA	NA	subtropical	marine brackish demersal	15	NA	True	False	False
Acanthurus leucosternon	23.0	28.0	tropical	reef-associated marine	0	25	False	False	False
Acanthurus lineatus	24.0	30.0	tropical	reef-associated marine	0	15	False	False	False
Acantopsis choirorhynchos	NA	NA	tropical	freshwater brackish demersal	NA	NA	False	False	False
Acentrogobius chlorostigmatoides	NA	NA	tropical	freshwater brackish demersal	NA	NA	False	False	False
Acentrogobius pflaumii	NA	NA	subtropical	marine brackish demersal	NA	NA	False	False	False
Acentrophryne dolichonema	NA	NA	NA	bathypelagic marine deep-water	201	1105	False	False	False
Acheilognathus intermedia	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Acheilognathus koreensis	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Acheilognathus macropterus	15.0	25.0	subtropical	freshwater benthopelagic brackish	NA	NA	False	False	False
Acheilognathus signifer	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Acheilognathus somjinensis	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Acheilognathus typus	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Acheilognathus yamatsutae	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Acipenser baerii	10.0	20.0	temperate	anadromous freshwater marine brackish demersal	1	NA	False	False	False
Acipenser dabryanus	NA	NA	temperate	anadromous freshwater demersal	NA	NA	False	False	False
Acipenser gueldenstaedtii	10.0	20.0	temperate	anadromous freshwater marine brackish demersal	1	NA	True	False	False
Acipenser ruthenus	NA	NA	temperate	freshwater brackish potamodromous demersal	1	NA	False	False	False
Acipenser schrenckii	10.0	20.0	temperate	anadromous freshwater marine brackish demersal	NA	NA	False	False	False
Acipenser sinensis	NA	NA	temperate	anadromous freshwater marine brackish demersal	NA	NA	False	False	False
Acipenser transmontanus	NA	23.0	subtropical	anadromous freshwater marine brackish demersal	1	122	True	False	False
Acreichthys tomentosus	NA	NA	tropical	reef-associated marine non-migratory	2	15	False	False	False
Acrossocheilus hemispinus	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Acrossocheilus monticola	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Acrossocheilus wenchowensis	NA	NA	subtropical	freshwater benthopelagic brackish	NA	NA	False	False	False
Aeoliscus strigatus	NA	NA	tropical	reef-associated marine	1	20	False	False	False
Aesopia cornuta	NA	NA	tropical	reef-associated marine	8	100	False	False	False
Aethaloperca rogaa	NA	NA	tropical	reef-associated marine non-migratory	3	50	False	False	False
Agonostomus monticola	20.0	31.0	subtropical	catadromous freshwater marine brackish pelagic-neritic	NA	NA	False	False	False
Albula glossodonta	NA	NA	tropical	reef-associated oceanodromous marine brackish	NA	NA	False	False	False
Alburnus alburnus	10.0	20.0	temperate	freshwater benthopelagic brackish potamodromous	1	NA	True	True	False
Alburnus istanbulensis	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Alburnus tarichi	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Aldrichetta forsteri	NA	28.0	temperate	catadromous freshwater marine brackish demersal	0	50	False	False	False
Aldrovandia affinis	NA	NA	NA	benthopelagic marine deep-water	730	2560	False	False	False
Alepocephalus agassizii	NA	NA	NA	bathydemersal marine deep-water	600	2500	False	False	False
Alepocephalus australis	NA	NA	NA	bathydemersal marine deep-water	1000	2600	False	False	False
Alepocephalus bairdii	NA	NA	NA	bathydemersal marine deep-water	365	1700	False	False	False
Alepocephalus bicolor	NA	NA	NA	bathydemersal marine deep-water	439	1080	False	False	False
Alepocephalus longiceps	NA	NA	NA	bathydemersal marine deep-water	1240	1300	False	False	False
Alepocephalus productus	NA	NA	NA	bathydemersal marine deep-water	1150	3500	False	False	False
Alepocephalus tenebrosus	NA	NA	NA	bathydemersal marine deep-water	46	5500	False	False	False
Alepocephalus umbriceps	NA	NA	NA	bathydemersal marine deep-water	500	2000	False	False	False
Allocyttus niger	NA	NA	NA	bathypelagic marine deep-water oceanodromous	560	1300	False	False	False
Alosa alosa	NA	NA	temperate	anadromous freshwater marine brackish pelagic-neritic	NA	300	False	False	False
Alosa pseudoharengus	NA	NA	temperate	anadromous freshwater marine brackish pelagic-neritic	5	145	False	True	False
Alosa sapidissima	NA	NA	temperate	anadromous freshwater marine brackish pelagic-neritic	0	250	False	False	False
Aluterus scriptus	NA	NA	subtropical	reef-associated marine	3	120	False	False	False
Amanses scopas	NA	NA	tropical	reef-associated marine	3	18	False	False	False
Amazonsprattus scintilla	NA	NA	tropical	pelagic freshwater	NA	NA	False	False	False
Amblydoras gonzalezi	NA	NA	tropical	freshwater demersal	NA	NA	False	False	False
Amia calva	15.0	20.0	temperate	freshwater demersal	NA	NA	False	False	False
Ammodytes hexapterus	NA	NA	temperate	benthopelagic oceanodromous marine brackish	0	275	False	False	False
Ammodytes personatus	NA	NA	temperate	oceanodromous marine demersal	NA	NA	False	False	False
Amphiprion bicinctus	NA	NA	tropical	reef-associated marine non-migratory	1	30	False	False	False
Amphiprion ocellaris	NA	NA	tropical	reef-associated marine non-migratory	1	15	False	False	False
Anarchias sp.	NA	NA	subtropical	reef-associated marine	NA	NA	False	False	False
Anarhichas denticulatus	NA	NA	polar	benthopelagic oceanodromous marine	60	1700	False	False	False
Anarhichas lupus	NA	NA	temperate	oceanodromous marine demersal	1	600	False	False	False
Anarhichas minor	NA	NA	temperate	oceanodromous marine demersal	25	600	True	False	False
