species	temperature_min	temperature_max	climate	environment
Auxis thazard	27.0	28.0	tropical	oceanodromous marine pelagic-neritic
Percocypris pingi			subtropical	freshwater benthopelagic
Hiodon tergisus			temperate	pelagic freshwater
Halichoeres tenuispinis			tropical	reef-associated marine
Cottus hangiongensis			temperate	catadromous freshwater marine brackish demersal
Cantherhines pardalis			tropical	reef-associated marine
Culter mongolicus	10.0	20.0	subtropical	freshwater benthopelagic
Micromesistius poutassou			temperate	bathypelagic marine oceanodromous
Anguilla dieffenbachii			subtropical	catadromous freshwater marine brackish demersal
Esomus metallicus	22.0	26.0	tropical	freshwater benthopelagic brackish
Doederleinia berycoides			tropical	marine demersal
Aptocyclus ventricosus			temperate	benthopelagic marine
Anguilla nebulosa			tropical	catadromous freshwater marine brackish demersal
Scopelogadus mizolepis				bathypelagic marine deep-water
Petroscirtes breviceps	22.0	28.0	tropical	reef-associated oceanodromous marine
Batrachomoeus trispinosus			tropical	reef-associated marine brackish
Rasbora daniconius	24.0	26.0	tropical	freshwater benthopelagic brackish potamodromous
Thamnaconus modestus			tropical	reef-associated oceanodromous marine
Etrumeus micropus			subtropical	marine pelagic-neritic
Notoscopelus kroyeri			temperate	pelagic-oceanic oceanodromous marine
Pseudolabrus sieboldi			subtropical	marine demersal
Rastrelliger brachysoma	20.0	30.0	tropical	oceanodromous marine brackish pelagic-neritic
Ancherythroculter nigrocauda			subtropical	freshwater benthopelagic
Sirembo imberbis			subtropical	marine demersal
Histrio histrio			subtropical	reef-associated oceanodromous marine
Sinocyclocheilus furcodorsalis			tropical	freshwater benthopelagic
Pellona flavipinnis			subtropical	pelagic freshwater brackish
Trichomycterus areolatus			temperate	freshwater benthopelagic
Moxostoma congestum			subtropical	freshwater demersal
Auchenoglanis occidentalis	21.0	25.0	tropical	freshwater demersal potamodromous
Pungitius pungitius	10.0	20.0	temperate	benthopelagic freshwater marine brackish anadromous
Chlorurus sordidus			tropical	reef-associated oceanodromous marine brackish
Oplegnathus punctatus			tropical	reef-associated oceanodromous marine
Ethmalosa fimbriata			tropical	catadromous freshwater marine brackish pelagic-neritic
Toxotes chatareus	25.0	30.0	tropical	pelagic amphidromous freshwater brackish
Bregmaceros nectabanus			tropical	marine non-migratory pelagic-neritic
Sardina pilchardus			subtropical	oceanodromous freshwater marine brackish pelagic-neritic
Oryzias celebensis	22.0	30.0	tropical	freshwater benthopelagic non-migratory
Rhinecanthus aculeatus			tropical	reef-associated marine
Acipenser gueldenstaedtii	10.0	20.0	temperate	anadromous freshwater marine brackish demersal
Paracirrhites arcatus	25.0	27.0	tropical	reef-associated marine
Labeo senegalensis	22.0	26.0	tropical	freshwater benthopelagic potamodromous
Genyochromis mento	24.0	28.0	tropical	freshwater benthopelagic
